SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,October-25-2017,Single Family Residential,13724 Rossburn,Hawthorne,CA,90250,950000,4,1.75,107 - Holly Glen/Del Aire,1993,5505,1955,120,477,,Sold,,,http://www.redfin.com/CA/Hawthorne/13724-Rossburn-Ave-90250/home/6674447,CRMLS,SB17204375,N,Y,33.9069689,-118.3770489
PAST SALE,October-25-2017,Single Family Residential,13912 Truro Ave,Hawthorne,CA,90250,875000,5,4.0,109 - Ramona/Burleigh,3227,5520,1947,120,271,,Sold,,,http://www.redfin.com/CA/Hawthorne/13912-Truro-Ave-90250/home/6492338,CRISNet,SR17190231,N,Y,33.9050321,-118.3579002
PAST SALE,November-3-2017,Single Family Residential,10501 Buford Ave,Inglewood,CA,90304,630000,3,1.0,Lennox,1139,20183,,111,553,,Sold,,,http://www.redfin.com/CA/Inglewood/10501-Buford-Ave-90304/home/6487275,TheMLS,17-272310,N,Y,33.9409564,-118.363761
PAST SALE,November-2-2017,Single Family Residential,5111 W 139th St,Hawthorne,CA,90250,626000,3,1.75,109 - Ramona/Burleigh,1525,6002,1951,112,410,,Sold,,,http://www.redfin.com/CA/Hawthorne/5111-139th-St-90250/home/6675920,CRISNet,SR17194335,N,Y,33.905429,-118.367561
PAST SALE,December-12-2017,Single Family Residential,11319 Burin Ave,Hawthorne,CA,90304,546000,3,2.0,108 - North Hawthorne,1415,3502,1948,72,386,,Sold,,,http://www.redfin.com/CA/Inglewood/11319-S-Burin-Ave-90304/home/6485833,CRMLS,PV17201232,N,Y,33.9315464,-118.3539792
PAST SALE,September-29-2017,Single Family Residential,12509 Manor Dr,Hawthorne,CA,90250,685000,3,1.75,108 - North Hawthorne,1620,5942,1953,146,423,,Sold,,,http://www.redfin.com/CA/Hawthorne/12509-Manor-Dr-90250/home/6488984,CRMLS,IN17163144,N,Y,33.9188694,-118.3558055
PAST SALE,November-30-2017,Single Family Residential,11025 Mansel Ave,Lennox,CA,90304,440000,2,1.0,105 - Lennox,773,4692,1924,84,569,,Sold,,,http://www.redfin.com/CA/Inglewood/11025-Mansel-Ave-90304/home/6485324,CRMLS,IN17234742,N,Y,33.9352921,-118.356167
PAST SALE,December-27-2017,Single Family Residential,5121 W 126th St,Hawthorne,CA,90250,710000,3,2.5,107 - Holly Glen/Del Aire,1712,4887,1997,57,415,,Sold,,,http://www.redfin.com/CA/Hawthorne/5121-W-126th-St-90250/home/6666755,CRMLS,SB17188311,N,Y,33.9188454,-118.3683534
PAST SALE,December-29-2017,Single Family Residential,11825 Menlo Ave,Hawthorne,CA,90250,510000,3,2.0,108 - North Hawthorne,1164,6565,1955,55,438,,Sold,,,http://www.redfin.com/CA/Hawthorne/11825-Menlo-Ave-90250/home/6503757,CRMLS,MB17240932,N,Y,33.9267826,-118.3474375
PAST SALE,September-15-2017,Single Family Residential,4727 West 141st St,Hawthorne,CA,90250,521000,3,1.0,Ramona/Burleigh,1008,5822,1948,160,517,,Sold,,,http://www.redfin.com/CA/Hawthorne/4727-W-141st-St-90250/home/6492602,TheMLS,17-247338,N,Y,33.9039015,-118.3598133
